id,host_id,district,neighbourhood,latitude,longitude,room_type,price,min_stay,reviews,last_review,reviews_per_month,host_listings
21724935,26004353,Ciutat Vella,el Raval,41.38067,2.16791,Private room,95,2,6,2018-07-05,0.33,3
21724960,157250994,Eixample,la Dreta de l'Eixample,41.39225,2.16185,Entire home/apt,102,3,0,NA,NA,69
21725318,157250994,Eixample,la Dreta de l'Eixample,41.39174,2.16369,Entire home/apt,71,3,3,2019-05-01,0.18,69
21726744,20802329,Les Corts,les Corts,41.38853,2.13192,Entire home/apt,480,3,34,2019-11-03,1.65,1
21733248,157250994,Sarrià-Sant Gervasi,el Putxet i el Farró,41.4063,2.14637,Entire home/apt,130,32,0,NA,NA,69
21733373,157250994,Sarrià-Sant Gervasi,el Putxet i el Farró,41.408,2.14683,Entire home/apt,130,32,0,NA,NA,69
21733464,157250994,Sarrià-Sant Gervasi,el Putxet i el Farró,41.40617,2.14538,Entire home/apt,130,32,0,NA,NA,69
21733554,157250994,Sarrià-Sant Gervasi,el Putxet i el Farró,41.40769,2.14632,Entire home/apt,130,32,1,2018-06-17,0.06,69
21733860,157250994,Sarrià-Sant Gervasi,el Putxet i el Farró,41.40765,2.14586,Entire home/apt,130,32,0,NA,NA,69
21733960,157250994,Sarrià-Sant Gervasi,el Putxet i el Farró,41.40803,2.14708,Entire home/apt,130,32,0,NA,NA,69
21734299,157250994,Sarrià-Sant Gervasi,el Putxet i el Farró,41.40627,2.14698,Entire home/apt,130,32,1,2018-06-17,0.06,69
21734796,37986811,Eixample,Sant Antoni,41.376220000000004,2.1538,Private room,48,3,34,2019-10-08,1.45,2
21735018,157250994,Sarrià-Sant Gervasi,el Putxet i el Farró,41.40626,2.14546,Entire home/apt,125,32,1,2018-04-02,0.05,69
21735239,157250994,Sarrià-Sant Gervasi,el Putxet i el Farró,41.40635,2.14578,Entire home/apt,125,32,0,NA,NA,69
21735483,157250994,Sarrià-Sant Gervasi,el Putxet i el Farró,41.40669,2.14678,Entire home/apt,125,32,0,NA,NA,69
21735665,157250994,Sarrià-Sant Gervasi,el Putxet i el Farró,41.40591,2.14666,Entire home/apt,125,32,2,2018-08-03,0.13,69
21735813,157250994,Sarrià-Sant Gervasi,el Putxet i el Farró,41.40737,2.14529,Entire home/apt,125,32,2,2018-07-28,0.12,69
21736603,2537484,Ciutat Vella,el Raval,41.37954,2.16445,Entire home/apt,58,40,0,NA,NA,4
21737186,77548260,Eixample,el Fort Pienc,41.39604,2.17731,Private room,18,75,0,NA,NA,8
21743799,153985568,Horta-Guinardó,el Baix Guinardó,41.412,2.16506,Private room,25,1,98,2019-10-30,4.73,2
21746456,2230962,Sant Martí,el Parc i la Llacuna del Poblenou,41.39587,2.18834,Private room,40,3,4,2019-09-20,0.56,3
21747106,124429009,Sant Martí,Provençals del Poblenou,41.40617,2.19528,Entire home/apt,250,1,71,2019-10-30,3.01,1
21751794,158023606,Eixample,la Dreta de l'Eixample,41.39872,2.17292,Entire home/apt,417,1,88,2019-10-24,1.81,128
21753927,4459553,Eixample,la Dreta de l'Eixample,41.39453,2.15667,Entire home/apt,400,3,14,2019-08-20,0.66,140
21754157,4459553,Eixample,l'Antiga Esquerra de l'Eixample,41.38992,2.15302,Entire home/apt,420,2,15,2019-10-07,0.73,140
21754331,4459553,Eixample,la Sagrada Família,41.4021,2.17669,Entire home/apt,400,2,14,2019-10-13,0.85,140
21760568,109963192,Sant Martí,el Camp de l'Arpa del Clot,41.4116,2.1819,Entire home/apt,69,31,5,2019-09-17,0.37,19
21761757,5614931,Eixample,la Dreta de l'Eixample,41.39156,2.17203,Hotel room,90,1,3,2019-08-31,1.06,40
21762108,149373664,Eixample,Sant Antoni,41.38282,2.16099,Private room,35,2,129,2019-11-03,5.37,4
21762984,396363,Gràcia,Vallcarca i els Penitents,41.4105,2.14644,Entire home/apt,214,2,1,2018-12-26,0.09,99
21764093,158560718,Eixample,la Sagrada Família,41.40809,2.17654,Private room,70,50,3,2018-03-14,0.13,3
21764769,1405013,Eixample,la Dreta de l'Eixample,41.39454,2.16973,Hotel room,90,32,1,2019-05-29,0.18,16
21764830,61874060,Ciutat Vella,el Raval,41.37777,2.17282,Private room,45,3,47,2019-10-23,2.35,3
21775798,35680770,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38776,2.17393,Entire home/apt,90,32,0,NA,NA,18
21776067,5614931,Eixample,la Dreta de l'Eixample,41.39138,2.17056,Hotel room,90,1,1,2019-08-22,0.37,40
21776264,5614931,Eixample,la Dreta de l'Eixample,41.3917,2.17227,Hotel room,90,1,6,2019-09-04,0.28,40
21776681,5614931,Eixample,la Dreta de l'Eixample,41.39021,2.17152,Hotel room,90,1,7,2019-08-05,0.32,40
21776861,5614931,Eixample,la Dreta de l'Eixample,41.39212,2.17172,Hotel room,145,1,2,2019-09-22,0.31,40
21776949,22076771,Sant Martí,el Camp de l'Arpa del Clot,41.41526,2.18214,Entire home/apt,55,31,0,NA,NA,14
21777867,22076771,Sant Martí,el Camp de l'Arpa del Clot,41.41502,2.18096,Entire home/apt,55,31,0,NA,NA,14
